"","Sample","Target","1","2","3","4","5","6"
"360","S1_34.6","lyta",25.6514980062253,NA,NA,NA,NA,NA
"361","S1_34.6","piab",45,45,NA,NA,NA,NA
"362","S1_35.1","lyta",19.9550024017987,NA,NA,NA,NA,NA
"363","S1_35.1","piab",45,45,NA,NA,NA,NA
"364","S1_35.2","lyta",23.7033767519504,NA,NA,NA,NA,NA
"365","S1_35.2","piab",45,45,45,NA,NA,NA
"366","S1_35.3","lyta",21.8185598602083,NA,NA,NA,NA,NA
"367","S1_35.3","piab",45,NA,NA,NA,NA,NA
"368","S1_35.4","lyta",24.6395044856326,NA,NA,NA,NA,NA
"369","S1_35.4","piab",38.81207309,45,45,NA,NA,NA
"370","S1_35.5","lyta",23.5969307241439,NA,NA,NA,NA,NA
"371","S1_35.5","piab",45,NA,NA,NA,NA,NA
"372","S1_35.6","lyta",26.5573478227013,NA,NA,NA,NA,NA
"373","S1_35.6","piab",45,NA,NA,NA,NA,NA
"374","S1_36.1","lyta",31.3144944262173,36.657434720478,NA,NA,NA,NA
"375","S1_36.1","piab",45,45,45,39.2522135583653,NA,NA
"376","S1_36.2","lyta",26.43865573,32.7286095000633,NA,NA,NA,NA
"377","S1_36.2","piab",34.17099937,45,45,45,NA,NA
"378","S1_36.3","lyta",22.8003047382683,28.535040578674,NA,NA,NA,NA
"379","S1_36.3","piab",45,45,45,37.9548006609181,NA,NA
"380","S1_36.4","lyta",21.6202953853141,25.7223471477426,26.3223670558916,NA,NA,NA
"381","S1_36.4","piab",39.6444768084804,36.708070639603,39.8925610168218,37.3293319263334,NA,NA
"382","S1_36.5","lyta",26.8018206108438,29.8952054465551,30.0554970964541,NA,NA,NA
"383","S1_36.5","piab",38.5339690960164,42.5112979543242,45,45,NA,NA
"384","S1_36.6","lyta",24.7326810394756,27.105282504675,NA,NA,NA,NA
"385","S1_36.6","piab",45,45,45,NA,NA,NA
"386","S1_37.1","lyta",45,45,45,NA,NA,NA
"387","S1_37.1","piab",45,42.9538161396531,45,45,45,NA
"388","S1_37.2","lyta",45,NA,NA,NA,NA,NA
"389","S1_37.2","piab",45,NA,NA,NA,NA,NA
"390","S1_37.3","lyta",45,45,NA,NA,NA,NA
"391","S1_37.3","piab",45,NA,NA,NA,NA,NA
"392","S1_37.4","lyta",45,NA,NA,NA,NA,NA
"393","S1_37.4","piab",45,NA,NA,NA,NA,NA
"394","S1_37.5","lyta",45,45,NA,NA,NA,NA
"395","S1_37.5","piab",45,NA,NA,NA,NA,NA
"396","S1_37.6","lyta",45,45,NA,NA,NA,NA
"397","S1_37.6","piab",45,NA,NA,NA,NA,NA
"398","S1_38.1","piab",45,NA,NA,NA,NA,NA
"399","S1_39.1","piab",45,NA,NA,NA,NA,NA
"400","S1_4.1","lyta",45,45,27.4314497332336,45,NA,NA
"401","S1_4.1","piab",37.0366572789192,37.0364200120978,45,NA,NA,NA
"402","S1_4.2","lyta",45,45,NA,NA,NA,NA
"403","S1_4.2","piab",45,45,45,NA,NA,NA
"404","S1_4.3","lyta",45,45,45,NA,NA,NA
"405","S1_4.3","piab",45,45,NA,NA,NA,NA
"406","S1_4.4","lyta",45,NA,NA,NA,NA,NA
"407","S1_4.4","piab",45,NA,NA,NA,NA,NA
"408","S1_4.5","lyta",45,NA,NA,NA,NA,NA
"409","S1_4.5","piab",45,NA,NA,NA,NA,NA
"410","S1_4.6","lyta",45,NA,NA,NA,NA,NA
"411","S1_4.6","piab",45,NA,NA,NA,NA,NA
"412","S1_40.1","lyta",45,NA,NA,NA,NA,NA
"413","S1_40.1","piab",45,45,45,NA,NA,NA
"414","S1_40.2","lyta",45,45,36.2099189646027,NA,NA,NA
"415","S1_40.2","piab",32.40503242,39.9724892171153,38.0123260131077,45,NA,NA
"416","S1_40.3","lyta",45,45,NA,NA,NA,NA
"417","S1_40.3","piab",45,45,NA,NA,NA,NA
"418","S1_40.4","lyta",45,45,NA,NA,NA,NA
"419","S1_40.4","piab",40.0323732291677,45,NA,NA,NA,NA
"420","S1_40.5","lyta",45,45,NA,NA,NA,NA
"421","S1_40.5","piab",45,NA,NA,NA,NA,NA
"422","S1_40.6","lyta",45,45,NA,NA,NA,NA
"423","S1_40.6","piab",45,NA,NA,NA,NA,NA
"424","S1_41.1","lyta",16.4922124163246,NA,NA,NA,NA,NA
"425","S1_41.1","piab",20.87683544,15.8192179171506,NA,NA,NA,NA
"426","S1_41.2","lyta",20.38183456,NA,NA,NA,NA,NA
"427","S1_41.2","piab",21.94192227,22.0931602829382,NA,NA,NA,NA
