,Sample,plate,lyta,piab,pos,,,,,,,,
337,70.3,7,NA,45,FALSE,,,,,,,,
338,70.4,9,45,45,FALSE,,,,,,,,
339,70.5,11,45,45,FALSE,,,,,,,,
340,71.1,2,45,45,FALSE,,,,,,,,
341,71.2,5,NA,45,FALSE,,,,,,,,
342,71.3,7,NA,45,FALSE,,,,,,,,
343,71.4,9,45,45,FALSE,,,,,,,,
344,71.5,11,45,45,FALSE,,,,,,,,
345,72.1,2,27.88012251,45,FALSE,,,,,,,,
346,72.2,5,NA,45,FALSE,,,,,,,,
347,72.3,7,NA,45,FALSE,,,,,,,,
348,72.4,9,28.39982356,45,FALSE,,,,,,,,
349,72.5,11,27.27587161,45,FALSE,,,,,,,,
350,73.1,2,45,45,FALSE,,,,,,,,
351,73.2,5,NA,45,FALSE,,,,,,,,
352,73.3,7,NA,45,FALSE,,,,,,,,
353,73.4,9,45,45,FALSE,,,,,,,,
354,73.5,11,45,45,FALSE,,,,,,,,
355,74.1,3,45,45,FALSE,,,,,,,,
356,74.2,5,NA,45,FALSE,,,,,,,,
357,74.3,8,34.75377815,45,FALSE,,,,,,,,
358,74.4,9,45,45,FALSE,,,,,,,,
359,74.5,11,35.88945282,45,FALSE,,,,,,,,
360,75.1,2,20.87056598,45,FALSE,,,,,,,,
361,75.2,5,NA,45,FALSE,,,,,,,,
362,75.3,8,25.25393067,45,FALSE,,,,,,,,
363,75.4,9,45,45,FALSE,,,,,,,,
364,75.5,11,26.33969489,45,FALSE,,,,,,,,
365,76.1,2,28.33690267,45,FALSE,,,,,,,,
366,76.2,5,NA,45,FALSE,,,,,,,,
367,76.3,8,35.22680083,45,FALSE,,,,,,,,
368,76.4,9,32.40940257,45,FALSE,,,,,,,,
369,76.5,11,33.04318381,45,FALSE,,,,,,,,
370,77.1,2,45,45,FALSE,,,,,,,,
371,77.2,5,NA,45,FALSE,,,,,,,,
372,77.3,8,45,36.7637479,FALSE,,,,,,,,
373,77.4,9,45,45,FALSE,,,,,,,,
374,77.5,11,45,45,FALSE,,,,,,,,
375,78.1,2,45,45,FALSE,,,,,,,,
376,78.2,5,NA,38.76997156,NA,,,,,,,,
377,78.3,8,45,45,FALSE,,,,,,,,
378,78.4,9,45,45,FALSE,,,,,,,,
379,78.5,11,45,45,FALSE,,,,,,,,
380,79.1,2,20.53397246,45,FALSE,,,,,,,,
381,79.2,5,NA,45,FALSE,,,,,,,,
382,79.3,8,24.21867915,31.10425651,TRUE,,,,,,,,
383,79.4,9,22.43841441,45,FALSE,,,,,,,,
384,79.5,11,23.07012309,45,FALSE,,,,,,,,
385,80.1,2,45,45,FALSE,,,,,,,,
386,80.2,5,NA,45,FALSE,,,,,,,,
387,80.3,8,45,45,FALSE,,,,,,,,
388,80.4,9,45,45,FALSE,,,,,,,,
389,80.5,11,45,45,FALSE,,,,,,,,
390,81.1,2,45,45,FALSE,,,,,,,,
391,81.2,5,NA,45,FALSE,,,,,,,,
392,81.3,8,45,45,FALSE,,,,,,,,
393,81.4,9,45,45,FALSE,,,,,,,,
394,81.5,11,45,45,FALSE,,,,,,,,
395,82.1,2,45,45,FALSE,,,,,,,,
396,82.2,5,NA,45,FALSE,,,,,,,,
397,82.3,8,45,45,FALSE,,,,,,,,
398,82.4,9,45,45,FALSE,,,,,,,,
399,82.5,11,45,45,FALSE,,,,,,,,
400,83.1,2,45,45,FALSE,,,,,,,,
401,83.2,5,NA,45,FALSE,,,,,,,,
402,83.3,8,45,45,FALSE,,,,,,,,
403,83.4,9,45,45,FALSE,,,,,,,,
404,83.5,11,45,45,FALSE,,,,,,,,
405,84.1,2,39.33833483,45,FALSE,,,,,,,,
406,84.2,5,NA,45,FALSE,,,,,,,,
407,84.3,8,45,45,FALSE,,,,,,,,
408,84.4,9,45,45,FALSE,,,,,,,,
409,84.5,11,45,45,FALSE,,,,,,,,
410,85.1,2,42.45814813,45,FALSE,,,,,,,,
411,85.2,6,NA,45,FALSE,,,,,,,,
412,85.3,8,45,45,FALSE,,,,,,,,
413,85.4,9,45,45,FALSE,,,,,,,,
414,85.5,11,45,45,FALSE,,,,,,,,
415,86.1,2,45,45,FALSE,,,,,,,,
416,86.2,6,NA,45,FALSE,,,,,,,,
417,86.3,8,45,45,FALSE,,,,,,,,
418,86.4,9,45,45,FALSE,,,,,,,,
419,86.5,11,45,45,FALSE,,,,,,,,
420,87.1,2,45,45,FALSE,,,,,,,,
421,87.2,6,NA,45,FALSE,,,,,,,,
422,87.3,8,45,45,FALSE,,,,,,,,
423,87.4,9,45,45,FALSE,,,,,,,,
424,87.5,11,45,45,FALSE,,,,,,,,
425,88.1,2,45,45,FALSE,,,,,,,,
426,88.2,6,NA,45,FALSE,,,,,,,,
427,88.3,8,45,45,FALSE,,,,,,,,
428,88.4,9,45,45,FALSE,,,,,,,,
429,89.1,2,45,45,FALSE,,,,,,,,
430,89.2,6,NA,45,FALSE,,,,,,,,
431,89.3,8,45,45,FALSE,,,,,,,,
432,89.4,9,45,45,FALSE,,,,,,,,
433,90.1,2,45,45,FALSE,,,,,,,,
434,90.2,6,NA,45,FALSE,,,,,,,,
435,90.3,8,45,45,FALSE,,,,,,,,
436,90.4,9,45,45,FALSE,,,,,,,,
437,91.1,2,45,45,FALSE,,,,,,,,
438,91.2,6,NA,45,FALSE,,,,,,,,
439,91.3,8,45,45,FALSE,,,,,,,,
440,92.1,2,24.18727557,31.3021931,TRUE,,,,,,,,
441,92.2,6,NA,45,FALSE,,,,,,,,
442,92.3,8,25.2111043,45,FALSE,,,,,,,,
443,93.1,2,45,45,FALSE,,,,,,,,
444,93.2,6,NA,45,FALSE,,,,,,,,
445,93.3,8,45,45,FALSE,,,,,,,,
446,94.1,2,45,45,FALSE,,,,,,,,
447,94.2,6,NA,45,FALSE,,,,,,,,
448,94.3,8,45,45,FALSE,,,,,,,,
449,95.1,2,45,45,FALSE,,,,,,,,
450,95.3,6,NA,45,FALSE,,,,,,,,
451,95.3,8,45,45,FALSE,,,,,,,,
452,96.1,2,45,45,FALSE,,,,"77,78,79,92,96",,,,
453,96.2,6,NA,45,FALSE,,,,,,,,
454,96.3,8,45,45,FALSE,,,,,,,,
455,96.4,9,45,37.76561228,FALSE,,,,,,,,
456,97.1,2,45,45,FALSE,,,,,,,,
457,97.2,6,NA,45,FALSE,,,,,,,,
458,97.3,8,45,45,FALSE,,,,,,,,
459,97.4,9,45,45,FALSE,,,,,,,,
460,98.1,2,45,45,FALSE,,,,,,,,
461,98.2,6,NA,45,FALSE,,,,,,,,
462,98.3,8,45,45,FALSE,,,,,,,,
463,99.1,4,NA,45,FALSE,,,,,,,,
464,99.2,6,NA,45,FALSE,,,,,,,,
465,99.3,8,45,45,FALSE,,,,,,,,
