"","Sample","variable","lyta","piab","pos"
"347","S1_65.4","Cq",45,45,FALSE
"348","S1_65.5","Cq",45,45,FALSE
"349","S1_65.6","Cq",45,45,FALSE
"350","S1_66.1","Cq",45,45,FALSE
"351","S1_66.2","Cq",45,45,FALSE
"352","S1_66.3","Cq",38.3730362319526,45,FALSE
"353","S1_66.4","Cq",45,45,FALSE
"354","S1_66.5","Cq",45,45,FALSE
"355","S1_66.6","Cq",45,45,FALSE
"356","S1_67.1","Cq",45,45,FALSE
"357","S1_67.2","Cq",45,45,FALSE
"358","S1_67.3","Cq",38.5670477499732,45,FALSE
"359","S1_67.4","Cq",45,45,FALSE
"360","S1_67.5","Cq",45,45,FALSE
"361","S1_67.6","Cq",45,45,FALSE
"362","S1_68.1","Cq",45,45,FALSE
"363","S1_68.2","Cq",45,45,FALSE
"364","S1_68.3","Cq",45,45,FALSE
"365","S1_68.4","Cq",45,45,FALSE
"366","S1_68.5","Cq",45,45,FALSE
"367","S1_68.6","Cq",45,38.8639298355437,FALSE
"368","S1_69.1","Cq",45,45,FALSE
"369","S1_69.2","Cq",45,45,FALSE
"370","S1_69.3","Cq",45,45,FALSE
"371","S1_69.4","Cq",45,45,FALSE
"372","S1_69.5","Cq",45,45,FALSE
"373","S1_69.6","Cq",45,38.8073732516555,FALSE
"374","S1_7.1","Cq",45,45,FALSE
"375","S1_7.2","Cq",45,45,FALSE
"376","S1_7.3","Cq",45,45,FALSE
"377","S1_7.4","Cq",45,45,FALSE
"378","S1_7.5","Cq",45,45,FALSE
"379","S1_7.6","Cq",45,45,FALSE
"380","S1_70.1","Cq",45,45,FALSE
"381","S1_70.2","Cq",45,45,FALSE
"382","S1_70.3","Cq",45,45,FALSE
"383","S1_70.4","Cq",38.38494766,45,FALSE
"384","S1_70.5","Cq",45,45,FALSE
"385","S1_70.6","Cq",45,45,FALSE
"386","S1_71.1","Cq",45,45,FALSE
"387","S1_71.2","Cq",35.3568236897613,45,FALSE
"388","S1_71.3","Cq",45,45,FALSE
"389","S1_71.4","Cq",45,45,FALSE
"390","S1_71.5","Cq",45,45,FALSE
"391","S1_71.6","Cq",45,45,FALSE
"392","S1_72.1","Cq",28.1815254398646,45,FALSE
"393","S1_72.2","Cq",27.98955705,45,FALSE
"394","S1_72.3","Cq",27.2663887274767,45,FALSE
"395","S1_72.4","Cq",29.8241447923726,45,FALSE
