"","Sample","plate","variable","lyta","piab","pos"
"297",33.3,11,"Cq",27.1988854542884,9999,FALSE
"298",33.4,5,"Cq",21.9814716138855,9999,FALSE
"299",33.4,13,"Cq",9999,22.997667652866,FALSE
"300",33.4,14,"Cq",23.3299411834145,9999,FALSE
"301",33.5,16,"Cq",45,45,FALSE
"302",33.5,22,"Cq",38.9580562474595,45,FALSE
"303",33.6,18,"Cq",33.5028061460122,30.793714843215,TRUE
"304",34.1,1,"Cq",22.1469421203051,45,FALSE
"305",34.2,4,"Cq",9999,38.4421703340177,FALSE
"306",34.2,5,"Cq",22.1343538455459,9999,FALSE
"307",34.2,22,"Cq",28.4653209644733,45,FALSE
"308",34.3,10,"Cq",9999,45,FALSE
"309",34.3,11,"Cq",22.9753480353861,9999,FALSE
"310",34.4,13,"Cq",9999,38.8762774324284,FALSE
"311",34.4,14,"Cq",23.6153773230255,9999,FALSE
"312",34.4,22,"Cq",27.8591736275724,36.0297805065493,TRUE
"313",34.5,16,"Cq",25.7460587143805,45,FALSE
"314",34.6,18,"Cq",25.6514980062253,45,FALSE
"315",35.1,1,"Cq",19.9550024017987,45,FALSE
"316",35.2,4,"Cq",9999,45,FALSE
"317",35.2,5,"Cq",23.7033767519504,9999,FALSE
"318",35.3,10,"Cq",9999,45,FALSE
"319",35.3,11,"Cq",21.8185598602083,9999,FALSE
"320",35.4,13,"Cq",9999,45,FALSE
"321",35.4,14,"Cq",24.6395044856326,9999,FALSE
"322",35.5,16,"Cq",23.5969307241439,45,FALSE
"323",35.6,18,"Cq",26.5573478227013,45,FALSE
"324",36.1,3,"Cq",31.3144944262173,45,FALSE
"325",36.2,6,"Cq",26.1246456842124,9999,FALSE
"326",36.2,7,"Cq",9999,45,FALSE
"327",36.3,10,"Cq",9999,45,FALSE
"328",36.3,11,"Cq",22.8003047382683,9999,FALSE
"329",36.4,13,"Cq",9999,39.6444768084804,FALSE
"330",36.4,14,"Cq",21.6202953853141,9999,FALSE
"331",36.4,22,"Cq",25.7223471477426,36.708070639603,TRUE
"332",36.5,16,"Cq",26.8018206108438,38.5339690960164,TRUE
"333",36.5,22,"Cq",29.8952054465551,42.5112979543242,FALSE
"334",36.6,18,"Cq",24.7326810394756,45,FALSE
"335",37.1,1,"Cq",45,42.9538161396531,FALSE
"336",37.1,4,"Cq",9999,45,FALSE
"337",37.1,5,"Cq",45,9999,FALSE
"338",37.1,7,"Cq",9999,45,FALSE
"339",37.2,6,"Cq",22.8703818826678,9999,FALSE
"340",37.2,7,"Cq",9999,45,FALSE
"341",37.3,10,"Cq",9999,45,FALSE
"342",37.3,11,"Cq",45,9999,FALSE
"343",37.4,13,"Cq",9999,45,FALSE
"344",37.4,14,"Cq",45,9999,FALSE
"345",37.5,16,"Cq",45,45,FALSE
"346",37.6,18,"Cq",45,45,FALSE
"347",38.1,1,"Cq",45,45,FALSE
"348",39.1,1,"Cq",40.4175777768269,45,FALSE
"349",40.1,1,"Cq",45,45,FALSE
"350",40.2,6,"Cq",41.6001634560321,9999,FALSE
"351",40.2,7,"Cq",9999,39.9724892171153,FALSE
"352",40.2,22,"Cq",45,38.0123260131077,FALSE
"353",40.3,10,"Cq",9999,45,FALSE
"354",40.3,11,"Cq",45,9999,FALSE
"355",40.4,12,"Cq",45,9999,FALSE
"356",40.4,13,"Cq",9999,40.0323732291677,FALSE
"357",40.4,14,"Cq",45,9999,FALSE
"358",40.5,16,"Cq",45,45,FALSE
"359",40.6,18,"Cq",45,45,FALSE
"360",41.1,3,"Cq",16.4922124163246,15.8192179171506,TRUE
"361",41.2,6,"Cq",18.516945512054,9999,FALSE
"362",41.2,7,"Cq",9999,22.0931602829382,FALSE
"363",41.3,10,"Cq",9999,27.7336921602024,FALSE
"364",41.3,11,"Cq",38.0952848610418,9999,FALSE
"365",41.3,22,"Cq",26.9296450858724,26.4844721353653,TRUE
"366",41.4,13,"Cq",9999,20.7826116861193,FALSE
"367",41.4,14,"Cq",20.2283445892635,9999,FALSE
"368",41.5,16,"Cq",23.4085931558306,22.9196101564778,TRUE
"369",41.6,18,"Cq",19.1687704204476,17.821008263282,TRUE
"370",42.1,1,"Cq",45,35.9988161990365,FALSE
"371",42.1,4,"Cq",9999,45,FALSE
"372",42.1,5,"Cq",45,9999,FALSE
"373",42.1,7,"Cq",9999,45,FALSE
"374",42.1,23,"Cq",45,45,FALSE
"375",42.1,24,"Cq",45,45,FALSE
"376",42.2,6,"Cq",45,9999,FALSE
"377",42.2,7,"Cq",9999,45,FALSE
"378",42.3,10,"Cq",9999,45,FALSE
"379",42.3,11,"Cq",45,9999,FALSE
"380",42.4,13,"Cq",9999,45,FALSE
"381",42.4,14,"Cq",45,9999,FALSE
"382",42.5,16,"Cq",45,45,FALSE
"383",42.6,18,"Cq",45,45,FALSE
"384",43.1,1,"Cq",45,45,FALSE
"385",43.2,6,"Cq",45,9999,FALSE
"386",43.2,7,"Cq",9999,45,FALSE
"387",43.3,10,"Cq",9999,38.4736710849707,FALSE
"388",43.3,11,"Cq",37.1095830152808,9999,FALSE
"389",43.4,13,"Cq",9999,45,FALSE
"390",43.4,14,"Cq",45,9999,FALSE
"391",43.5,16,"Cq",45,45,FALSE
"392",43.6,18,"Cq",45,38.9017818975391,FALSE
"393",43.6,23,"Cq",45,45,FALSE
"394",43.6,24,"Cq",45,45,FALSE
"395",44.1,1,"Cq",45,37.3141475272678,FALSE
"396",44.1,23,"Cq",36.7720203581652,45,FALSE
"397",44.1,24,"Cq",36.7720203581652,45,FALSE
"398",44.2,6,"Cq",45,9999,FALSE
"399",44.2,7,"Cq",9999,45,FALSE
"400",44.3,10,"Cq",9999,45,FALSE
"401",44.3,11,"Cq",45,9999,FALSE
"402",44.4,13,"Cq",9999,33.7230064320604,FALSE
"403",44.4,14,"Cq",33.091408581142,9999,FALSE
"404",44.5,16,"Cq",45,45,FALSE
"405",44.6,18,"Cq",45,45,FALSE
"406",45.1,1,"Cq",45,37.2297331466863,FALSE
"407",45.1,4,"Cq",9999,45,FALSE
"408",45.1,5,"Cq",45,9999,FALSE
"409",45.1,7,"Cq",9999,45,FALSE
"410",45.2,6,"Cq",35.7376612405494,9999,FALSE
"411",45.2,7,"Cq",9999,45,FALSE
"412",45.3,10,"Cq",9999,45,FALSE
"413",45.3,11,"Cq",38.5050730578286,9999,FALSE
"414",45.4,13,"Cq",9999,45,FALSE
"415",45.4,14,"Cq",45,9999,FALSE
"416",45.5,16,"Cq",45,45,FALSE
"417",45.6,18,"Cq",45,45,FALSE
"418",46.1,1,"Cq",38.4198869178005,45,FALSE
"419",46.2,6,"Cq",21.9631271738663,9999,FALSE
"420",46.2,7,"Cq",9999,45,FALSE
"421",46.3,10,"Cq",9999,45,FALSE
"422",46.3,11,"Cq",45,9999,FALSE
"423",46.4,13,"Cq",9999,45,FALSE
"424",46.4,14,"Cq",45,9999,FALSE
"425",46.5,16,"Cq",39.4456423749819,45,FALSE
"426",46.6,18,"Cq",45,45,FALSE
"427",47.1,1,"Cq",45,40.4697611438442,FALSE
"428",47.2,6,"Cq",45,9999,FALSE
"429",47.2,7,"Cq",9999,45,FALSE
"430",47.3,10,"Cq",9999,45,FALSE
"431",47.3,11,"Cq",36.9616698480213,9999,FALSE
"432",47.4,13,"Cq",9999,45,FALSE
"433",47.4,14,"Cq",45,9999,FALSE
"434",47.5,16,"Cq",45,45,FALSE
"435",47.6,18,"Cq",45,45,FALSE
"436",49.4,23,"Cq",45,33.2713038499,FALSE
"437",49.4,24,"Cq",45,33.2713038499,FALSE
"438",50.1,1,"Cq",37.689618623943,45,FALSE
"439",50.2,6,"Cq",23.8568537799141,9999,FALSE
"440",50.2,7,"Cq",9999,45,FALSE
"441",50.3,10,"Cq",9999,45,FALSE
"442",50.3,11,"Cq",29.1631913727106,9999,FALSE
"443",50.4,13,"Cq",9999,45,FALSE
"444",50.4,14,"Cq",26.2492143423172,9999,FALSE
"445",50.5,16,"Cq",29.4189050744338,45,FALSE
"446",50.6,18,"Cq",30.0314150789465,45,FALSE
"447",51.1,1,"Cq",45,45,FALSE
"448",51.2,6,"Cq",34.4488204910407,9999,FALSE
"449",51.2,7,"Cq",9999,45,FALSE
"450",51.3,10,"Cq",9999,45,FALSE
"451",51.3,11,"Cq",37.1031630316145,9999,FALSE
"452",51.4,13,"Cq",9999,45,FALSE
"453",51.4,14,"Cq",39.6782346063049,9999,FALSE
"454",51.5,16,"Cq",45,45,FALSE
"455",51.6,18,"Cq",44.8094145431389,45,FALSE
"456",52.1,2,"Cq",45,45,FALSE
"457",52.2,6,"Cq",36.6552682995606,9999,FALSE
"458",52.2,7,"Cq",9999,45,FALSE
"459",52.3,10,"Cq",9999,45,FALSE
"460",52.3,11,"Cq",45,9999,FALSE
"461",52.4,13,"Cq",9999,45,FALSE
"462",52.4,14,"Cq",45,9999,FALSE
"463",52.5,16,"Cq",45,45,FALSE
"464",52.6,18,"Cq",45,45,FALSE
"465",53.1,2,"Cq",45,45,FALSE
"466",53.2,6,"Cq",45,9999,FALSE
"467",53.2,7,"Cq",9999,45,FALSE
"468",53.3,10,"Cq",9999,45,FALSE
"469",53.3,11,"Cq",45,9999,FALSE
"470",53.4,13,"Cq",9999,45,FALSE
"471",53.4,14,"Cq",45,9999,FALSE
"472",53.5,16,"Cq",45,45,FALSE
"473",53.6,18,"Cq",45,45,FALSE
"474",54.1,2,"Cq",45,45,FALSE
"475",54.2,6,"Cq",45,9999,FALSE
"476",54.2,7,"Cq",9999,45,FALSE
"477",54.3,10,"Cq",9999,45,FALSE
"478",54.3,11,"Cq",45,9999,FALSE
"479",54.4,13,"Cq",9999,45,FALSE
"480",54.4,14,"Cq",45,9999,FALSE
"481",54.5,16,"Cq",45,45,FALSE
"482",54.6,18,"Cq",45,45,FALSE
"483",55.1,2,"Cq",45,45,FALSE
"484",55.2,6,"Cq",45,9999,FALSE
"485",55.2,7,"Cq",9999,45,FALSE
"486",55.3,10,"Cq",9999,45,FALSE
"487",55.3,11,"Cq",45,9999,FALSE
"488",55.4,13,"Cq",9999,45,FALSE
"489",55.4,14,"Cq",45,9999,FALSE
"490",55.5,16,"Cq",45,38.9183818612371,FALSE
"491",55.5,22,"Cq",37.0496435591767,45,FALSE
"492",55.6,18,"Cq",45,45,FALSE
"493",56.1,2,"Cq",45,45,FALSE
"494",56.2,6,"Cq",45,9999,FALSE
"495",56.2,7,"Cq",9999,45,FALSE
"496",56.3,10,"Cq",9999,45,FALSE
"497",56.3,11,"Cq",45,9999,FALSE
"498",56.4,19,"Cq",45,45,FALSE
"499",56.5,16,"Cq",45,45,FALSE
"500",56.6,18,"Cq",45,45,FALSE
"501",57.1,3,"Cq",45,45,FALSE
