"","Sample","plate","lyta","piab","pos"
"659",84.3,13,45,45,FALSE
"660",84.4,15,45,45,FALSE
"661",84.5,17,45,45,FALSE
"662",84.6,19,45,45,FALSE
"663",85.1,2,45,45,FALSE
"664",85.2,8,NA,45,FALSE
"665",85.2,9,45,NA,FALSE
"666",85.3,13,45,45,FALSE
"667",85.4,15,45,45,FALSE
"668",85.5,17,45,45,FALSE
"669",85.6,19,45,45,FALSE
"670",86.1,2,45,45,FALSE
"671",86.2,8,NA,45,FALSE
"672",86.2,9,45,NA,FALSE
"673",86.3,13,45,45,FALSE
"674",86.4,15,45,45,FALSE
"675",86.5,17,45,45,FALSE
"676",86.6,19,45,45,FALSE
"677",87.1,2,45,45,FALSE
"678",87.2,8,NA,45,FALSE
"679",87.2,9,45,NA,FALSE
"680",87.3,13,45,45,FALSE
"681",87.4,15,45,45,FALSE
"682",87.5,17,45,45,FALSE
"683",87.6,19,45,45,FALSE
"684",88.1,2,45,45,FALSE
"685",88.2,8,NA,45,FALSE
"686",88.2,9,39.3850897980494,NA,NA
"687",88.3,13,45,45,FALSE
"688",88.4,15,45,45,FALSE
"689",88.5,19,45,45,FALSE
"690",89.1,2,45,45,FALSE
"691",89.2,8,NA,45,FALSE
"692",89.2,9,45,NA,FALSE
"693",89.3,13,45,45,FALSE
"694",89.4,15,45,45,FALSE
"695",89.5,19,45,45,FALSE
"696",90.1,2,45,45,FALSE
"697",90.2,8,NA,45,FALSE
"698",90.2,9,45,NA,FALSE
